name,id,level,1_country_id,1_country,2_district_id,2_district,3_chiefdom_id,3_chiefdom
Adonkia CHP,Rp268JB6Ne4,4,ImspTQPwCqd,Sierra Leone,at6UHUQatSo,Western Area,qtr8GGlm4gg,Rural Western Area
Afro Arab Clinic,cDw53Ej8rju,4,ImspTQPwCqd,Sierra Leone,at6UHUQatSo,Western Area,qtr8GGlm4gg,Rural Western Area
Agape CHP,GvFqTavdpGE,4,ImspTQPwCqd,Sierra Leone,O6uvpzGd5pu,Bo,U6Kr7Gtpidn,Kakua
Ahamadyya Mission Cl,plnHVbJR6p4,4,ImspTQPwCqd,Sierra Leone,PMa2VCrupOd,Kambia,QywkxFudXrC,Magbema
Ahmadiyya Muslim Hospital,BV4IomHvri4,4,ImspTQPwCqd,Sierra Leone,eIQbndfxQMb,Tonkolili,NNE0YMCDZkO,Yoni
"Air Port Centre, Lungi",qjboFI0irVu,4,ImspTQPwCqd,Sierra Leone,TEQlaapDQoK,Port Loko,vn9KJsLyP5f,Kaffu Bullom
Alkalia CHP,dWOAzMcK2Wt,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,J4GiUImJZoE,Nieni
Allen Town Health Post,kbGqmM6ZWWV,4,ImspTQPwCqd,Sierra Leone,at6UHUQatSo,Western Area,C9uduqDZr9d,Freetown
Approved School CHP,eoYV2p74eVz,4,ImspTQPwCqd,Sierra Leone,at6UHUQatSo,Western Area,C9uduqDZr9d,Freetown
Arab Clinic,nq7F0t1Pz6t,4,ImspTQPwCqd,Sierra Leone,Vth0fbpFcsO,Kono,TQkG0sX9nca,Gbense
Baama CHC,r5WWF9WDzoa,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,X7dWcGerQIm,Wandor
Babara CHC,yMCshbaVExv,4,ImspTQPwCqd,Sierra Leone,TEQlaapDQoK,Port Loko,fRLX08WHWpL,Lokomasama
Badala MCHP,tlMeFk8C4CG,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,Lt8U7GVWvSR,Diang
Badjia,YuQRtpLP10I,3,ImspTQPwCqd,Sierra Leone,O6uvpzGd5pu,Bo,,
Bafodia CHC,Jiymtq0A01x,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,XrF5AvaGcuw,Wara Wara Bafodia
Bagruwa,jPidqyo7cpF,3,ImspTQPwCqd,Sierra Leone,jmIPBj66vD6,Moyamba,,
Baiama CHP,XtuhRhmbrJM,4,ImspTQPwCqd,Sierra Leone,Vth0fbpFcsO,Kono,M2qEv692lS6,Tankoro
Bai Bureh Memorial Hospital,BH7rDkWjUqc,4,ImspTQPwCqd,Sierra Leone,TEQlaapDQoK,Port Loko,vn9KJsLyP5f,Kaffu Bullom
Baiima CHP,c41XRVOYNJm,4,ImspTQPwCqd,Sierra Leone,jUb8gELQApl,Kailahun,yu4N82FFeLm,Mandu
Bai Largo MCHP,Rll4VmTDRiE,4,ImspTQPwCqd,Sierra Leone,jmIPBj66vD6,Moyamba,nV3OkyzF4US,Kori
Bailor CHP,Eyj2kiEJ7M3,4,ImspTQPwCqd,Sierra Leone,TEQlaapDQoK,Port Loko,fRLX08WHWpL,Lokomasama
Baiwala CHP,HFyjUvMjQ8H,4,ImspTQPwCqd,Sierra Leone,jUb8gELQApl,Kailahun,lYIM1MXbSYS,Dea
Bakeloko CHP,MHAWZr2Caxw,4,ImspTQPwCqd,Sierra Leone,eIQbndfxQMb,Tonkolili,NNE0YMCDZkO,Yoni
Bambara Kaima CHP,LOpWauwwghf,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,KXSqt7jv6DU,Gorama Mende
Bambara MCHP,mUuCjQWMaOc,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,X7dWcGerQIm,Wandor
Bambawolo CHP,TNbHYOuQi8s,4,ImspTQPwCqd,Sierra Leone,kJq2mPyFEHo,Kenema,KIUCimTXf8Q,Nongowa
Bambuibu Tommy MCHP,aSfF9kuNINJ,4,ImspTQPwCqd,Sierra Leone,jmIPBj66vD6,Moyamba,RndxKqQGzUl,Dasse
Bambukoro MCHP,wYLjA4vN6Y9,4,ImspTQPwCqd,Sierra Leone,qhqAxPSTUXp,Koinadugu,VGAFxBXz16y,Sengbeh
Banana Island MCHP,jjtzkzrmG7s,4,ImspTQPwCqd,Sierra Leone,at6UHUQatSo,Western Area,qtr8GGlm4gg,Rural Western Area
Bandajuma Clinic CHC,FNnj3jKGS7i,4,ImspTQPwCqd,Sierra Leone,bL4ooGhyHRQ,Pujehun,NqWaKXcg01b,Sowa
Bandajuma Kpolihun CHP,ABM75Q1UfoP,4,ImspTQPwCqd,Sierra Leone,jUb8gELQApl,Kailahun,ERmBhYkhV6Y,Njaluahun
